0x21902065 Checksum
0xa6f5352f Offset
0xbd878596 Z_World_sfx_addresses_xbx
0xa84c6738 Z_World_sfx_size_xbx
0x083fdb95 Size
0x42716209 zones\z_world\z_world_sfx_dat_xbx.qb
0xc7ca3cd7 zones\z_world\z_world.pfx
0xebeec7c8 
0x4c2fc39a 
0x12b24eca 
0x03e2965b 
0x9db0ddcc 
0x9c07411b WeaponType
0x500eb224 Obj_GetID
0x5151b2b1 PlaySound
0xfaee4495 Canteen_AddContentAmount
0x442b052a rifle
0x2296654c CollectedAmmo
0xb0192688 Whiskey_PU
0x9dfa46c2 ThrownWeapon
0x5fed0715 WWW_SFX_Cock_Pistol01
0x4debe7be z_world_profiles
0xf6a36814 vol
0xb44948d0 Z_WORLD_GiveRifleAmmo
0xabbd58f0 Z_WORLD_GiveHealth
0x6d94a8fc z_world_all_profiles
0xd8fab94e Z_WORLD_GiveShotgunAmmo
0x16ba99e0 Z_WORLD_GiveBowAmmo
0x4c4f29ea Z_WORLD_GiveDynamiteAmmo
0x67e9aa54 bow
0x0ae89b6c TriggeringObject
0x1151ac1e shotgun
0x0830ecaf ObjId
0xcc03accf Hero_AddThrownWeaponAmmo
0x3c5f1cea z_world_Startup
0xd9e1ddac Dynamite
0x462caedf Molotov
0x309f3f15 Z_WORLD_GiveMoltovAmmo
0x715e8fbd Amount
0x6f37a019 Z_World_TRG_82
0x4a61505a Z_World_TRG_124
0x1b11a05a Z_World_TRG_39
0x9822f074 Z_World_TRG_90
0x1830908f Z_World_TRG_83
0x3d6660cc Z_World_TRG_125
0x6c1690cc Z_World_TRG_38
0x4478a0cd Z_World_NodeArray_SortedNames
0xef25c0e2 Z_World_TRG_91
0x020a911b Z_World_TRG_29
0x8139c135 Z_World_TRG_80
0x6aadf154 Geometry
0x762c9158 Z_World_TRG_92
0x09383172 TERRAIN_CONCROUGH
0xa46f3176 Z_World_TRG_126
0x750da18d Z_World_TRG_28
0xf63ef1a3 Z_World_TRG_81
0x012ba1ce Z_World_TRG_93
0x6647a1d6 Z_World_trg_ladder_adobe_01_top
0xd36801e0 Z_World_TRG_127
0xa1dc81f9 Name
0xd11a620d TERRAIN_WOODFLIMSY
0xf8455223 Z_World_TRG_117
0x0f50024e Z_World_TRG_105
0x5e20f24e Z_World_TRG_18
0xa4f9a278 LoadTerrain
0x8f4262b5 Z_World_TRG_116
0x1c87f2b6 Z_World_trg_ladder_adobe_03_top
0x7c2552b9 CreatedAtStart
0x785732d8 Z_World_TRG_104
0x2927c2d8 Z_World_TRG_19
0x988ce30f Z_World_TRG_WaterTower_ladder01_top
0x164b330f Z_World_TRG_115
0x473bc30f Z_World_TRG_08
0x16150315 Z_World_NodeArray_SortedIndices
0x26feb31f Z_World_NodeArray_compressed_node_70
0xe15e6362 Z_World_TRG_107
0x614c0399 Z_World_TRG_114
0x303cf399 Z_World_TRG_09
0xccfdf3b2 Z_World_TRG_WaterTower_ladder02_bottom
0x2be3b3d5 Z_World_NodeArray_compressed_node_25
0xc84243da Ladder
0x965953f4 Z_World_TRG_106
0x685a6400 Z_World_TRG_86
0x07a3240f Z_World_NodeArray_compressed_node_11
0x6666541f Z_World_TRG_69
0x4d0c9443 Z_World_TRG_120
0x4272f451 Z_World_TRG_WaterTower_ladder01_bottom
0x9f4f346d Z_World_TRG_94
0x11616489 Z_World_TRG_68
0x1f5d5496 Z_World_TRG_87
0x70a41499 Z_World_NodeArray_compressed_node_10
0x3a0ba4d5 Z_World_TRG_121
0xa9ecf4e9 TERRAIN_METALSMOOTH
0xe84804fb Z_World_TRG_95
0x5417a502 Z_World_TRG_130
0xe9ad4523 Z_World_NodeArray_compressed_node_13
0x3d5a952c TERRAIN_BRICK
0x8654052c Z_World_TRG_84
0xbf4d3536 LevelGeometry
0x71415541 Z_World_TRG_96
0x7f7d655e Z_World_TRG_79
0xa302f56f Z_World_TRG_122
0xf15335ba Z_World_TRG_85
0xc11425bc debug_string
0x087a55c8 Z_World_TRG_78
0x6651a5d0 TERRAIN_WOODPLYWOOD
0x064665d7 Z_World_TRG_97
0xd405c5f9 Z_World_TRG_123
0x30c19600 ClimbingNode
0x2357060b Z_World_TRG_48
0x9dfda61e TERRAIN_DIRT
0xc1a12635 Z_World_NodeArray_compressed_node_99
0xff28963a Z_World_TRG_113
0x083dc657 Z_World_TRG_101
0x12b4e660 Class
0xb5872676 Z_World_NodeArray_compressed_node_22
0x64967688 TERRAIN_DEFAULT
0x5450369d Z_World_TRG_49
0xb6a616a3 Z_World_NodeArray_compressed_node_98
0x882fa6ac Z_World_TRG_112
0x7f3af6c1 Z_World_TRG_100
0x34c626c5 cell_id
0xc28016e0 Z_World_NodeArray_compressed_node_23
0x1126f716 Z_World_TRG_111
0x6a12771a Z_World_ZeroPointer
0x3a4c374a Z_World_TRG_58
0xd8ba1774 Z_World_NodeArray_compressed_node_89
0xe633a77b Z_World_TRG_103
0x4c23a77e Waypoint
0x6621c780 Z_World_TRG_110
0xae83b7ce TERRAIN_GLASSPANE
0x4d4b07dc Z_World_TRG_59
0x913497ed Z_World_TRG_102
0xe2df7805 Z_World_TRG_23
0x6fd01834 Z_World_TRG_65
0x2d7e583b CollisionMode
0x96f97846 Z_World_TRG_98
0x98c54859 Z_World_TRG_77
0x15ca2868 Z_World_TRG_31
0x95d84893 Z_World_TRG_22
0x88684899 LoadTerrainSounds
0x18d728a2 Z_World_TRG_64
0xefc278cf Z_World_TRG_76
0xe1fe48d0 Z_World_TRG_99
0x7321a8d6 Type
0x62cd18fe Z_World_TRG_30
0x8fe24907 Z_World_TRG_88
0x9d2d0915 Angles
0x81de7918 Z_World_TRG_67
0x0cd11929 Z_World_TRG_21
0xfbc44944 Z_World_TRG_33
0x7f261953 Pos
0x76cb2975 Z_World_TRG_75
0xf6d9498e Z_World_TRG_66
0xf8e57991 Z_World_TRG_89
0xdcff99a3 RenderToViewport
0xd748f9b7 TERRAIN_DIRTPACKED
0x7bd629bf Z_World_TRG_20
0x8cc379d2 Z_World_TRG_32
0xdf2c99df Z_World_TRG_WaterTower_ladder02_top
0x01cc19e3 Z_World_TRG_74
0xe34989f2 Z_World_NodeArray
0xa7ee2a11 Z_World_TRG_02
0x2ae14a20 Z_World_TRG_44
0xddf41a4d Z_World_TRG_56
0x50fb7a7c Z_World_TRG_10
0xd0e91a87 Z_World_TRG_03
0xbf105a88 Z_World_NodeArray_compressed_node_94
0x9b37fa90 TERRAIN_CONCSMOOTH
0x5de67ab6 Z_World_TRG_45
0x74f62ad2 SelectRenderOnly
0xaaf32adb Z_World_TRG_57
0x27fc4aea Z_World_TRG_11
0x21e7db06 Z_World_trg_ladder_adobe_02_top
0xc4ef2b0c Z_World_TRG_46
0x28253b2d Z_World_NodeArray_compressed_node_78
0x26190b32 Z_World_NodeArray_compressed_node_97
0x805ccb4c Z_World_trg_ladder_adobe_02_bottom
0xbef51b50 Z_World_TRG_12
0x0a5aab5e TERRAIN_METALROUGH
0x33fa7b61 Z_World_TRG_54
0xb3e81b9a Z_World_TRG_47
0x511e3ba4 Z_World_NodeArray_compressed_node_96
0x3ee77bab Z_World_TRG_01
0xc9f22bc6 Z_World_TRG_13
0x4cf6cbd2 Z_World_trg_ladder_adobe_03_bottom
0x44fd4bf7 Z_World_TRG_55
0x32d3fc0a TERRAIN_ROCK
0xe5b2bc1c Z_World_TRG_27
0x68bddc2d Z_World_TRG_61
0x9fa88c40 Z_World_TRG_73
0x3789ac4e terrain
0x43d71c71 Z_World_TRG_128
0x12a7ec71 Z_World_TRG_35
0x92b58c8a Z_World_TRG_26
0x0ed3ccaf Z_World_trg_ladder_adobe_01_bottom
0x67af2cb5 TERRAIN_METALCORRUGATED
0x1fbaecbb Z_World_TRG_60
0xe8afbcd6 Z_World_TRG_72
0x34d02ce7 Z_World_TRG_129
0x65a0dce7 Z_World_TRG_34
0x86b3bd01 Z_World_TRG_63
0x0bbcdd30 Z_World_TRG_25
0x1ccd4d52 LoadAllParticleTextures
0xfca98d5d Z_World_TRG_37
